Fecha,CO,Temp Ext
01/02/18,0.63,14.6
01/02/18,0.69,15.2
01/02/18,0.664,18.5
01/02/18,1.198,13.1
01/02/18,0.772,14.3
01/02/18,0.844,13.7
01/02/18,1.629,17.6
01/02/18,1.634,17.5
01/02/18,1.02,15.2
01/02/18,2.205,13
01/02/18,1.472,15.5
01/02/18,1.124,18.3
01/02/18,3.19,13.6
01/02/18,1.604,18
01/02/18,2.972,15.1
01/02/18,2.701,16.6
02/02/18,0.243,27.9
02/02/18,0.241,28.1
02/02/18,0.231,27.7
02/02/18,0.214,26.3
02/02/18,0.227,24.2
02/02/18,0.277,27.6
02/02/18,0.371,22.3
02/02/18,0.605,20.1
02/02/18,0.39,21.3
02/02/18,0.401,27
02/02/18,0.515,23.8
02/02/18,0.455,22.2
02/02/18,1.039,18.3
02/02/18,1,15.8
02/02/18,1.159,15.3
02/02/18,1.789,15
02/02/18,1.42,16.1
02/02/18,1.267,16.4
02/02/18,0.781,17.2
02/02/18,1.602,16.1
02/02/18,1.221,16.9
02/02/18,1,16.8
02/02/18,1.094,24.6
02/02/18,1.356,25.5
03/02/18,0.497,24.8
03/02/18,0.538,23.7
03/02/18,0.487,25.7
03/02/18,0.381,20.1
03/02/18,0.682,22.4
03/02/18,0.374,20.7
03/02/18,0.759,20
03/02/18,0.867,20.2
03/02/18,0.966,20.7
03/02/18,1.004,19.3
03/02/18,1.062,25
03/02/18,0.913,21.4
03/02/18,0.783,19.2
03/02/18,1.164,23.8
03/02/18,1.225,17.4
03/02/18,1.525,17.2
03/02/18,1.146,18
03/02/18,1.59,16.9
03/02/18,1.349,20.5
03/02/18,1.361,18.3
03/02/18,1.598,17.4
03/02/18,1.341,18.8
03/02/18,1.582,23.4
03/02/18,1.685,22.2
04/02/18,0.384,27.5
04/02/18,0.37,26.5
04/02/18,0.452,28
04/02/18,0.44,28.2
04/02/18,0.474,28.1
04/02/18,0.496,26.8
04/02/18,0.483,25.1
04/02/18,0.612,21.8
04/02/18,0.573,23.1
04/02/18,0.677,23.3
04/02/18,0.581,22.4
04/02/18,0.706,21.1
04/02/18,0.727,24.9
04/02/18,0.643,19.6
04/02/18,1.055,18.6
04/02/18,0.791,23.7
04/02/18,0.847,19.2
04/02/18,1.299,16.9
04/02/18,1.736,16.4
04/02/18,1.102,17.5
04/02/18,1.065,17.7
04/02/18,1.985,16
04/02/18,1.583,17.3
04/02/18,1.169,18.6
05/02/18,0.415,26.1
05/02/18,0.477,27.1
05/02/18,0.471,27.4
05/02/18,0.45,27
05/02/18,0.598,21.5
05/02/18,0.498,24.7
05/02/18,0.508,27.5
05/02/18,0.532,25.7
05/02/18,0.642,18.6
05/02/18,0.64,20.6
05/02/18,0.682,19.2
05/02/18,0.629,23.2
05/02/18,0.598,21.3
05/02/18,0.617,21.9
05/02/18,0.612,22.5
05/02/18,0.77,18.6
05/02/18,0.714,23.2
05/02/18,0.752,17.5
05/02/18,0.733,24.7
05/02/18,0.914,17.3
05/02/18,0.982,20.7
05/02/18,1.951,16.7
05/02/18,1.266,18.8
05/02/18,1.997,17.2
06/02/18,0.433,27.7
06/02/18,0.408,28.1
06/02/18,0.469,27.7
06/02/18,0.497,26.6
06/02/18,0.623,20.7
06/02/18,0.537,26.9
06/02/18,0.606,21
06/02/18,0.619,20.7
06/02/18,0.726,18.4
06/02/18,0.744,19.8
06/02/18,0.572,21.6
06/02/18,0.547,22.5
06/02/18,0.755,19.1
06/02/18,0.82,17.8
06/02/18,0.827,24.5
06/02/18,0.785,25.6
06/02/18,0.602,23.2
06/02/18,1.291,17.4
06/02/18,0.796,26
06/02/18,2.287,17.2
06/02/18,3.268,18.1
06/02/18,1.469,24
06/02/18,2.529,20.3
06/02/18,1.83,22.4
07/02/18,0.541,19.5
07/02/18,0.267,26.4
07/02/18,0.408,26.1
07/02/18,0.55,19
07/02/18,0.343,26.4
07/02/18,0.444,21.9
07/02/18,0.584,24.9
07/02/18,0.594,18.1
07/02/18,0.542,20
07/02/18,0.625,17.6
07/02/18,0.696,21.4
07/02/18,0.499,23.1
07/02/18,0.61,17.7
07/02/18,0.717,17.2
07/02/18,0.781,22.8
07/02/18,0.671,24
07/02/18,0.856,20.6
07/02/18,0.602,25.6
07/02/18,1.292,18.1
07/02/18,1.098,19.8
07/02/18,0.791,22.5
07/02/18,1.389,17.1
07/02/18,1.686,17.4
07/02/18,1.151,24.9
08/02/18,0.452,18.5
08/02/18,0.274,23.7
08/02/18,0.327,22.4
08/02/18,0.493,19.2
08/02/18,0.455,19.5
08/02/18,0.476,17.9
08/02/18,0.332,25.1
08/02/18,0.516,17.4
08/02/18,0.413,20.5
08/02/18,0.312,24.8
08/02/18,0.46,20.5
08/02/18,0.397,21.6
08/02/18,0.421,24.9
08/02/18,0.64,18.9
08/02/18,0.641,18.5
08/02/18,0.525,24.5
08/02/18,0.604,22.2
08/02/18,0.784,17.1
08/02/18,0.791,16.4
08/02/18,0.804,16.4
08/02/18,0.877,17.7
08/02/18,0.85,17.4
08/02/18,0.964,16.5
08/02/18,1.075,16.5
09/02/18,0.432,15.2
09/02/18,0.418,15
09/02/18,0.477,14.5
09/02/18,0.436,15
09/02/18,0.473,14.9
09/02/18,0.52,17.4
09/02/18,0.59,17
09/02/18,0.65,14.5
09/02/18,0.762,15.8
09/02/18,0.63,17.3
09/02/18,0.637,17.2
09/02/18,0.646,17.3
09/02/18,0.911,15.3
09/02/18,0.833,16.4
09/02/18,0.741,17
09/02/18,0.811,17.9
09/02/18,0.879,17
09/02/18,1.404,15.9
09/02/18,1.415,16.5
09/02/18,1.015,14.8
09/02/18,1.354,15.3
09/02/18,1.094,16.4
09/02/18,1.102,17
09/02/18,0.869,18.4
10/02/18,0.252,21.1
10/02/18,0.218,22.1
10/02/18,0.326,19.9
10/02/18,0.455,19.1
10/02/18,0.655,13.4
10/02/18,0.5,18.4
10/02/18,0.57,14.1
10/02/18,0.6,13.1
10/02/18,0.411,18.2
10/02/18,0.645,18.1
10/02/18,0.875,14.9
10/02/18,0.591,21
10/02/18,0.588,18.6
10/02/18,0.435,17.9
10/02/18,0.564,20.4
10/02/18,0.763,16.5
10/02/18,0.622,13.9
10/02/18,0.709,13.1
10/02/18,1.063,14
10/02/18,0.649,19.3
10/02/18,0.731,14.4
10/02/18,0.823,14.6
10/02/18,0.848,13.2
10/02/18,1.156,13.3
11/02/18,0.161,23.2
11/02/18,0.133,23
11/02/18,0.154,23.2
11/02/18,0.219,23.3
11/02/18,0.26,22.6
11/02/18,0.439,17.8
11/02/18,0.521,17.1
11/02/18,0.547,18
11/02/18,0.963,14.3
11/02/18,0.651,15.2
11/02/18,0.85,14.6
11/02/18,0.536,21.8
11/02/18,0.747,15.5
11/02/18,0.683,21.4
11/02/18,1.056,14.3
11/02/18,0.735,16.1
11/02/18,1.161,15
11/02/18,0.567,20.9
11/02/18,0.65,20
11/02/18,0.826,18.6
11/02/18,1.284,19.3
11/02/18,1.264,20.2
11/02/18,0.844,18.1
11/02/18,1.231,16.6
12/02/18,0.09,27.5
12/02/18,0.119,27.4
12/02/18,0.154,26.8
12/02/18,0.322,20.8
12/02/18,0.367,22.4
12/02/18,0.396,16.5
12/02/18,0.19,25.4
12/02/18,0.352,15.9
12/02/18,0.331,16
12/02/18,0.24,26.7
12/02/18,0.413,23.9
12/02/18,0.375,21.5
12/02/18,0.405,17.2
12/02/18,0.447,24.8
12/02/18,0.488,25.5
12/02/18,0.479,15
12/02/18,0.976,14.7
12/02/18,0.644,14.8
12/02/18,1.347,14.6
